id,post_id,open_date,street,address,place_type,shop_centre,dns,lat,lon,response,district,post2,is_center,price,parking_count,parking_min_distance,finance_count,shop_count,distance_100,distance_500,cafe_count,culture_count,job_gov_count,metro_count,metro_min_distance,transport_count,transport_min_distance,working_days,work_hours,weekday_availability,office_hours,is_moscow
1413,,2015,ул. Загорская,"ул. Загорская, 22",КЦ,FALSE,FALSE,56.3421515,37.5210645,"Загорская улица, микрорайон имени А.Маркова, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",Дмитров,141800,FALSE,69178,11,66.31721362,2,8,1.548142857,29.76614286,9,13,10,0,,4,174.776693,7,12,2,['пн.—вс.: 10:00—22:00'],FALSE
10922,141803,2017,мкр. Аверьянова,"мкр. Аверьянова, дом 3",ОПС Б1_2,FALSE,FALSE,56.353501,37.5228764,"мкр. Аверьянова, Профессиональная улица, микрорайон имени Константина Аверьянова, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",микро имени Константина Аверьянова,141800,FALSE,69178,25,37.32089478,0,12,1.626,51.05314286,6,2,3,0,,4,167.5452081,5,9,0,['пн.—пт.: 10:00—19:00 перерыв: 13:00—14:00'],FALSE
24622,141803,,мкр. Аверьянова,"мкр. Аверьянова, дом 3",ОПС Б1,FALSE,FALSE,56.353501,37.5228764,"мкр. Аверьянова, Профессиональная улица, микрорайон имени Константина Аверьянова, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",микро имени Константина Аверьянова,141800,FALSE,69178,25,37.32089478,0,12,1.626,51.05314286,6,2,3,0,,4,167.5452081,5,9,0,['пн.—пт.: 10:00—19:00 перерыв: 13:00—14:00'],FALSE
8437,141801,2016,мкр. Дзфс,"мкр. Дзфс, дом 25",ОПС Б1,FALSE,FALSE,56.3645506,37.5304754,"мкр. ДЗФС, Профессиональная улица, микрорайон имени Владимира Махалина, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",микро имени Владимира Махалина,141800,FALSE,69178,9,29.59780898,1,5,0.5801428571,11.07942857,2,2,1,0,,8,95.48156777,6,11,1,,FALSE
12758,141800,2017,ул. Почтовая,"ул. Почтовая, дом 5",ОПС Б1,FALSE,FALSE,56.3420093,37.5159723,"Отделение связи №141800, 5, Почтовая улица, микрорайон имени А.Маркова, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",Почтовая улица,141800,FALSE,69178,13,63.04534854,2,8,0.8588571429,35.43885714,9,8,11,0,,3,123.9008255,5,11,1,"['пн., ср.—пт.: 08:00—17:00 вт.: 10:00—19:00 сб.: 09:00—18:00 перерыв: 13:00—14:00']",FALSE
22882,,2018,ул. Загорская,"ул. Загорская, дом 22",ТП,FALSE,FALSE,56.3421515,37.5210645,"Загорская улица, микрорайон имени А.Маркова, Дмитров, Дмитровский городской округ, Московская область, ЦФО, 141800, РФ",Дмитров,141800,FALSE,69178,11,66.31721362,2,8,1.548142857,29.76614286,9,13,10,0,,4,174.776693,7,12,2,['пн.—вс.: 10:00—22:00'],FALSE
9374,141700,2016,ул. Дирижабельная,"ул. Дирижабельная, дом 13",ОПС Б1_2,FALSE,FALSE,55.9384374,37.5070466,"ул. Дирижабельная, Новый бульвар, посёлок Краснополянской сельхозшколы, Водники, Долгопрудный, городской округ Долгопрудный, Московская область, ЦФО, 141707, РФ",посёлок Краснополянской сельхозшколы,141707,FALSE,119387,26,68.64454792,2,18,0.9692857143,43.58114286,8,1,7,0,,16,103.3117251,6,9,1,,FALSE
25315,141702,2018,ул. Заводская,"ул. Заводская, дом 10",ОПС Б1,FALSE,FALSE,55.97347,37.504421,"Заводская улица, посёлок Краснополянской сельхозшколы, Хлебниково, Долгопрудный, городской округ Долгопрудный, Московская область, ЦФО, 141720, РФ",Хлебниково,141720,FALSE,119387,12,91.79407834,4,18,2.385571429,44.17328571,5,1,5,0,,4,194.1001595,5,9,0,,FALSE
14072,141707,2017,ул. Спортивная,"ул. Спортивная, дом 9",ОПС Б1,FALSE,FALSE,55.9411932,37.4916034,"Спортивная, Лихачёвское шоссе, посёлок Краснополянской сельхозшколы, Водники, Долгопрудный, городской округ Долгопрудный, Московская область, ЦФО, 141707, РФ",посёлок Краснополянской сельхозшколы,141707,FALSE,119387,20,41.53707478,3,20,1.892142857,30.66642857,6,1,5,0,,12,104.0770573,5,9,0,,FALSE
12760,141704,2017,ш. Московское,"ш. Московское, дом 43 Б",ОПС Б1,FALSE,FALSE,55.9252259,37.5266541,"Московское шоссе, Долгопрудный, городской округ Долгопрудный, Московская область, ЦФО, 141700, РФ",городской округ Долгопрудный,141700,FALSE,119387,13,202.3544308,1,15,1.172142857,22.13842857,6,0,2,0,,9,273.118016,5,9,0,,FALSE
15007,102320,2017,Домодедово Аэропорт,Домодедово Аэропорт,other,FALSE,FALSE,55.444794,37.754272,"Домодедово, городской округ Домодедово, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,88225,0,,0,0,0.9465714286,17.26771429,0,0,0,0,,0,,6,11,1,,FALSE
1406,,2013,ш. Каширское,"ш. Каширское, 3",КЦ,FALSE,FALSE,55.4328887,37.7655253,"Отделение связи №142000, 62, Каширское шоссе, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142000, РФ",Каширское шоссе,142000,FALSE,88225,41,44.63285539,1,5,1.968142857,38.70542857,8,0,3,0,,7,70.42657157,7,13,2,"пн.: 11:00–20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.—вс.: 10:00–22:00",FALSE
10143,142007,2016,прт Туполева,"прт Туполева, дом 20",ОПС Б1,FALSE,FALSE,55.4181108,37.8387268,"проспект Академика Туполева, микрорайон Авиационный, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142007, РФ",Домодедово,142007,FALSE,88225,13,56.73605316,0,0,1.738857143,23.963,1,0,0,0,,3,99.59821266,5,9,0,['пн.—пт.: 09:00—18:00'],FALSE
12734,142001,2017,ул. Речная,"ул. Речная, дом 14/1",ОПС Б1,FALSE,FALSE,55.444794,37.754272,"Домодедово, городской округ Домодедово, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,88225,50,42.49146521,0,12,2.189,38.09942857,6,0,10,0,,10,194.674589,5,9,0,['пн.—пт.: 10:00—19:00'],FALSE
7635,142000,2016,ш. Каширское,"ш. Каширское, дом 62",ОПС Б1_2,FALSE,FALSE,55.4328887,37.7655253,"Отделение связи №142000, 62, Каширское шоссе, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142000, РФ",Каширское шоссе,142000,FALSE,88225,58,24.17035036,5,18,0.9884285714,52.01628571,5,1,12,0,,8,67.51566405,7,13,2,"пн.: 11:00–20:00 вт.—пт.: 09:00—20:00 сб.: 09:00—18:00, пн.—вс.: 10:00–22:00",FALSE
18774,,2017,мкр. Авиационный,"мкр. Авиационный, прт Ак. Туполева, дом 2",ТП,FALSE,TRUE,55.4163468,37.8357025,"микрорайон Авиационный, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142007, РФ",городской округ Домодедово,142007,FALSE,88225,50,54.60014843,0,15,1.068285714,36.45571429,3,1,5,0,,7,52.39847666,6,11,1,,FALSE
26850,,2018,мкр. Авиационный,"мкр. Авиационный, прт Ак. Туполева, дом 2",ТП,FALSE,TRUE,55.4163468,37.8357025,"микрорайон Авиационный, Домодедово, городской округ Домодедово, Московская область, ЦФО, 142007, РФ",городской округ Домодедово,142007,FALSE,88225,50,54.60014843,0,15,1.068285714,36.45571429,3,1,5,0,,7,52.39847666,6,11,1,,FALSE
1414,,2013,прт Боголюбова,"прт Боголюбова, 31",КЦ,FALSE,FALSE,56.7365767,37.1629632,"проспект Боголюбова, Особая Экономичесская Зона, Чёрная речка, Дубна, городской округ Дубна, Московская область, ЦФО, 141980, РФ",Чёрная речка,141980,FALSE,63851,50,87.45046015,1,18,2.045285714,26.53057143,6,1,5,0,,11,35.82866831,7,12,2,"['пн.—пт.: 09:00—21:00 сб., вс.: 10:00—17:00']",FALSE
7658,141981,2016,ул. 9 Мая,"ул. 9 Мая, дом 3",ОПС Б1_2,FALSE,FALSE,56.7291919,37.1498339,"улица 9 Мая, Большая Волга, Дубна, городской округ Дубна, Московская область, ЦФО, 141980, РФ",Дубна,141980,FALSE,63851,37,35.54777721,2,16,0.8074285714,26.76971429,9,0,6,0,,12,64.70196595,6,10,1,"['пн., сб.: 09:00—18:00 перерыв: 13:00—14:00 вт.—пт.: 09:00—19:00']",FALSE
11296,141983,2017,ул. Тверская,"ул. Тверская, дом 9",ОПС Б1_2,FALSE,FALSE,56.7632653,37.2284712,"Дубна, Титовское сельское поселение, городской округ Дубна, Московская область, ЦФО, 141982, РФ",городской округ Дубна,141982,FALSE,63851,12,42.33389434,0,11,0.7364285714,22.94285714,6,0,5,0,,9,65.52306803,5,9,0,['пн.—пт.: 10:00—:19:00 перерыв: 13:00—14:00'],FALSE
14328,,2017,прт Боголюбова,"прт Боголюбова, дом 19",ТП,TRUE,TRUE,56.7365767,37.1629632,"проспект Боголюбова, Особая Экономичесская Зона, Чёрная речка, Дубна, городской округ Дубна, Московская область, ЦФО, 141980, РФ",Чёрная речка,141980,FALSE,63851,61,18.65671642,4,8,3.769857143,47.157,5,2,4,0,,7,103.7420804,7,12,2,"['пн.—пт.: 09:00—21:00 сб., вс.: 10:00—17:00']",FALSE
17782,,2017,прт Боголюбова,"прт Боголюбова, дом 21 мн Мехико",ТП,FALSE,FALSE,56.7365767,37.1629632,"проспект Боголюбова, Особая Экономичесская Зона, Чёрная речка, Дубна, городской округ Дубна, Московская область, ЦФО, 141980, РФ",Чёрная речка,141980,FALSE,63851,63,13.88139943,3,15,2.560571429,29.70742857,4,0,4,0,,11,124.0243726,7,12,2,"['пн.—пт.: 09:00—21:00 сб., вс.: 10:00—17:00']",FALSE
1420,,2013,ул. Советская,"ул. Советская, 109",КЦ,FALSE,FALSE,55.380164,39.039242,"Егорьевск, 126, Советская улица, Егорьевск, городской округ Егорьевск, Московская область, ЦФО, 140302, РФ",Советская улица,140302,FALSE,42200,18,26.44782858,3,15,3.264857143,40.04985714,5,6,17,0,,4,101.9551572,7,12,2,"пн.—пт.: 09:00—18:00, пн.—пт.: 09:00—21:00 сб., вс.: 10:00—17:00",FALSE
8445,140304,2016,мкр. 1й,"мкр. 1й, дом 73",ОПС Б1_2,FALSE,FALSE,55.35017815,39.06637259,"мкр. Заречье, городской округ Егорьевск, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,42200,26,133.9505466,2,18,1.206571429,35.16257143,7,3,9,0,,0,,6,11,1,,FALSE
8442,140300,2016,мкр. 6й,"мкр. 6й, дом 3",ОПС Б1,FALSE,FALSE,55.35017815,39.06637259,"мкр. Заречье, городской округ Егорьевск, Московская область, ЦФО, РФ",Московская область,ЦФО,FALSE,42200,55,46.44885469,3,8,1.315428571,26.53171429,6,0,3,0,,0,,6,11,1,,FALSE
